year,token_count,total_count,counts_permil
1992,17240043,5177676969,3329.69
1993,17604947,5261402556,3346.06
1994,18914560,5668284357,3336.91
1995,19726976,5903406001,3341.63
1996,20948836,6229253497,3362.98
1997,21875090,6426967099,3403.64
1998,23037161,6710202693,3433.15
1999,25537883,7209916753,3542.05
2000,28900224,7867112937,3673.55
2001,30484610,8259858863,3690.69
2002,34653134,8994011878,3852.91
2003,40267484,10070867725,3998.41
2004,45047847,11019952189,4087.84
2005,42156231,10419437975,4045.92
2006,44689717,10904452060,4098.3
2007,48253285,11401015419,4232.37
2008,74928019,15794843318,4743.83
2009,81928148,16545375555,4951.72
