year,token_count,total_count,counts_permil
1968,6835513,2961008207,2308.51
1969,7171035,2925893731,2450.89
1970,7420257,2980316227,2489.75
1971,6875145,2911286799,2361.55
1972,7007154,2894439909,2420.9
1973,6749207,2787493047,2421.25
1974,7205203,2835400187,2541.16
1975,7465482,2773009076,2692.2
1976,8369239,2895075207,2890.85
1977,8548387,3017786106,2832.67
1978,9129810,3008545004,3034.63
1979,9362884,3108644036,3011.89
1980,10019674,3095366720,3236.99
1981,10700147,3167777689,3377.81
1982,11510824,3251635329,3540.01
1983,12045152,3363385115,3581.26
1984,12907766,3604291725,3581.22
1985,13435525,3707140560,3624.23
1986,14256100,3852814910,3700.18
1987,14692774,3894321600,3772.87
1988,15918317,4130959751,3853.42
1989,17230955,4395434935,3920.19
1990,19306328,4794705748,4026.59
1991,20124412,4717462266,4265.94
1992,21243424,5177676969,4102.89
1993,22633533,5261402556,4301.81
1994,25478618,5668284357,4494.94
1995,26810628,5903406001,4541.55
1996,28575945,6229253497,4587.38
1997,31984244,6426967099,4976.57
1998,33494936,6710202693,4991.64
1999,37176780,7209916753,5156.34
2000,42792463,7867112937,5439.41
2001,45590505,8259858863,5519.53
2002,54098865,8994011878,6014.99
2003,61008440,10070867725,6057.91
2004,68964842,11019952189,6258.18
2005,64953718,10419437975,6233.9
2006,64224739,10904452060,5889.77
2007,73872959,11401015419,6479.51
2008,97029739,15794843318,6143.13
2009,88883201,16545375555,5372.09
